UserId,Age,Address,Gender,UserType,Label,Total_Quantity,Total_Value,StDev_Quantity,StDev_Value,AvgTimeDelta,Recency,Unique_TransactionId,Unique_ItemId,Unique_Location,Unique_ProductCategory,Total_Quantity_per_Unique_TransactionId,Total_Quantity_per_Unique_ItemId,Total_Quantity_per_Unique_Location,Total_Quantity_per_Unique_ProductCategory,Total_Value_per_Unique_TransactionId,Total_Value_per_Unique_ItemId,Total_Value_per_Unique_Location,Total_Value_per_Unique_ProductCategory
2105345,D,F,Unknown,Unknown,Churner,9,773,0.353553390593274,77.2212729757805,0,38,8,8,1,1,1,1,4.5,4.5,85.8888888888889,85.8888888888889,386.5,386.5
2085920,F,F,Unknown,Unknown,Nonchurner,5,400,0,0,0,84,1,1,1,1,2.5,2.5,2.5,2.5,200,200,200,200
1976717,C,C,Unknown,Unknown,Churner,72,4939,1.96734474460618,114.518784296792,0.333333333333333,16,39,30,1,1,1.8,2.32258064516129,36,36,123.475,159.322580645161,2469.5,2469.5
768535,A,E,Unknown,Unknown,Nonchurner,15,1754,0.924416277737175,143.784118480703,5,24,11,10,1,1,1.25,1.36363636363636,7.5,7.5,146.166666666667,159.454545454545,877,877
1895117,D,F,Unknown,Unknown,Churner,41,2222,0.45281565433046,48.8186147166953,1.45714285714286,2,35,28,1,1,1.13888888888889,1.41379310344828,20.5,20.5,61.7222222222222,76.6206896551724,1111,1111
1587807,J,E,Unknown,Unknown,Nonchurner,54,2123,2.51521684740574,75.0587664503796,1.8,15,20,18,1,1,2.57142857142857,2.84210526315789,27,27,101.095238095238,111.736842105263,1061.5,1061.5
1853100,C,G,Unknown,Unknown,Churner,5,440,0,78.1568934899539,0,93,5,5,1,1,0.833333333333333,0.833333333333333,2.5,2.5,73.3333333333333,73.3333333333333,220,220
2158358,B,F,Unknown,Unknown,Churner,5,606,0,146.142738444303,0,77,5,4,1,1,0.833333333333333,1,2.5,2.5,101,121.2,303,303
1950892,D,C,Unknown,Unknown,Nonchurner,86,8945,0.58916498929874,147.188940259163,1.36923076923077,7,65,36,1,1,1.3030303030303,2.32432432432432,43,43,135.530303030303,241.756756756757,4472.5,4472.5
204040,J,E,Unknown,Unknown,Nonchurner,10,324,0.516397779494322,30.4893424002552,3,71,6,6,1,1,1.42857142857143,1.42857142857143,5,5,46.2857142857143,46.2857142857143,162,162
