Date,Location,Lemon,Orange,Temperature,Leaflets,Price
2016-07-01,Park,97,67,70,90.0,0.25
2016-07-02,Park,98,67,72,90.0,0.25
2016-07-03,Park,110,77,71,104.0,0.25
2016-07-04,Beach,134,99,76,98.0,0.25
2016-07-05,Beach,159,118,78,135.0,0.25
2016-07-06,Beach,103,69,82,90.0,0.25
2016-07-07,Beach,143,101,81,135.0,0.25
2017-07-08,Beach,123,86,82,113.0,0.25
2016-07-09,Beach,134,95,80,126.0,0.25
2016-07-10,Beach,140,98,82,131.0,0.25
2016-07-11,Beach,162,120,83,135.0,0.25
2016-07-12,Beach,130,95,84,99.0,0.25
2016-07-13,Beach,109,75,77,99.0,0.25
2016-07-14,Beach,122,85,78,113.0,0.25
2016-07-15,Beach,98,62,75,108.0,0.5
2016-07-16,Beach,81,50,74,90.0,0.5
2016-07-17,Beach,115,76,77,126.0,0.5
2016-07-18,Park,131,92,81,122.0,0.5
2016-07-19,Park,122,85,78,113.0,0.5
2016-07-20,Park,71,42,70,108.0,0.5
2016-07-21,Park,83,50,77,90.0,0.5
2016-07-22,Park,112,75,80,108.0,0.5
2016-07-23,Park,120,82,81,117.0,0.5
2016-07-24,Park,121,82,82,117.0,0.5
2016-07-25,Park,156,113,84,135.0,0.5
2016-07-26,Park,176,129,83,158.0,0.35
2016-07-27,Park,104,68,80,99.0,0.35
2016-07-28,Park,96,63,82,90.0,0.35
2016-07-29,Park,100,66,81,95.0,0.35
2016-07-30,Beach,88,57,82,81.0,0.35
2016-07-31,Beach,76,47,82,68.0,0.35
